,date,amount,上涨数,涨幅>2%,涨幅中位,涨幅均值,新高,新低,>MA20,index
19,20180126,5015.96764389,0.3480122324159021,0.3474006116207951,-0.37,-0.30437614678899083,241,280,0.427217125382263,1005.3371812320771
20,20180129,5548.50162988,0.21677893447642377,0.21677893447642377,-1.38,-1.2085548071034906,192,808,0.3061849357011635,1001.9473041595622
21,20180130,4373.85962323,0.4470300061236987,0.4454990814451929,-0.07,-0.18882731169626454,178,583,0.30924678505817516,988.9793266063291
22,20180131,4936.76203113,0.1640098099325567,0.1640098099325567,-2.5,-2.632271612507664,104,1493,0.19987737584304108,987.6994523041856
23,20180201,5666.0866191000005,0.0905463474524248,0.0905463474524248,-4.37,-4.22658379373849,48,2174,0.10957642725598526,962.3537430004349
24,20180202,4624.182495120001,0.37336652146857496,0.37274424393279404,-0.64,-0.8171935283136279,88,1609,0.11636589919103921,920.9889700458293
25,20180205,4471.18959392,0.3332280480101074,0.33259633607075173,-0.66,-0.7729406190777006,125,1507,0.12002526847757422,914.2786742118342
26,20180206,5590.68702536,0.03417721518987342,0.033860759493670886,-6.04,-5.809604430379746,19,2410,0.06424050632911392,907.728138964661
27,20180207,5261.52611932,0.670266836086404,0.6699491740787802,0.76,0.541902795425667,37,742,0.06925031766200762,853.9470420793809
28,20180208,4116.16387967,0.8167356029271396,0.8167356029271396,1.35,1.3987718740057271,36,189,0.06872414890232262,859.505822285524
29,20180209,4936.27841455,0.07716735471578279,0.07716735471578279,-3.32,-3.4057192759606227,16,1605,0.040012702445220705,871.318749434737
30,20180212,3494.3161542999997,0.9387045813586098,0.9387045813586098,2.51,2.736767772511848,49,101,0.07140600315955767,842.0175228918415
31,20180213,3468.9707269000005,0.4864438839848676,0.48612862547288777,0.0,0.08321878940731399,36,128,0.08007566204287515,864.1068749068373
32,20180214,2367.0327004799997,0.559322033898305,0.5590081607030759,0.19,0.2156057752667922,31,153,0.0903954802259887,864.4664245470788
33,20180222,3250.04690567,0.9346262120738192,0.9346262120738192,1.57,1.8862245855489521,66,29,0.14482327181732874,866.2195874186814
34,20180223,3323.98147347,0.5726762320648784,0.5723643169058016,0.23,0.49990330630068613,34,35,0.16219588271990018,881.1888345912839
35,20180226,4669.56310407,0.9596523898199876,0.9590316573556797,2.17,2.545,109,15,0.3128491620111732,884.404747810501
36,20180227,4607.6241748600005,0.4784896316929743,0.47818012999071496,0.0,0.3256515010832559,85,29,0.36706901887960386,905.2545897401335
37,20180228,4246.34274475,0.43831370117792934,0.43831370117792934,-0.11,0.06716057036577805,83,29,0.43180409175449475,906.7285773201904
38,20180301,4322.21716882,0.8203537077257214,0.8200434377908781,1.09,1.5879615265280795,136,20,0.6338814768848898,906.5343586447632
39,20180302,4165.93876018,0.2983920841063698,0.2983920841063698,-0.73,-0.47747371675943107,77,35,0.650278293135436,918.6726793193956
40,20180305,3861.3953936899998,0.6016109045848823,0.6013011152416357,0.37,0.7680885997521686,123,35,0.7320322180916976,913.1263137464799
41,20180306,4980.87058999,0.7745432022297926,0.774233508826262,0.9,1.2212016104056984,119,18,0.8457726850418086,918.3224069855228
42,20180307,4282.71880901,0.27343025054129294,0.27250231982678624,-0.89,-0.5397092483761213,77,31,0.8283328178162698,928.0621418283694
43,20180308,4028.1893228199992,0.7173374613003096,0.7167182662538699,0.62,1.0823312693498452,118,20,0.8634674922600619,921.4278466921704
44,20180309,5117.56321749,0.8443688118811881,0.8443688118811881,1.37,1.7407797029702972,215,9,0.9016089108910891,929.2707238715394
45,20180312,6066.63556816,0.8550231839258114,0.8544049459041732,1.15,1.5775115919629057,322,6,0.923338485316847,943.7245064034599
46,20180313,5021.19676098,0.2906220984215413,0.29031259671928195,-0.77,-0.5519746208604147,151,12,0.9139585267718973,956.5946040576345
47,20180314,4455.58320336,0.21362229102167182,0.2130030959752322,-1.16,-1.0507739938080496,52,16,0.8854489164086687,950.2716351125534
48,20180315,4350.03787816,0.29440840284213776,0.29409947482236637,-0.92,-0.8973679332715476,82,33,0.7964164349706518,939.7674560227521
49,20180316,3958.05882949,0.4083333333333333,0.4080246913580247,-0.2,-0.01843827160493827,84,48,0.7339506172839506,931.2279398262125
50,20180319,3966.6641382299995,0.5738513721862473,0.5735430157261795,0.31,0.5156059204440333,113,62,0.7243293246993524,930.2108607179831
51,20180320,4019.68235327,0.5047854276011114,0.5044766903365236,0.06,0.4339981475764125,127,47,0.6863229391787589,934.0507986873337
52,20180321,4813.067593670001,0.30928152944804194,0.30928152944804194,-0.62,-0.5210669133518347,76,71,0.6265803268578477,936.3578955088027
53,20180322,4236.3714057,0.4773497688751926,0.4773497688751926,0.0,0.24331895223420646,102,82,0.5802773497688752,931.0156604406985
54,20180323,6347.93983359,0.06,0.05969230769230769,-6.29,-5.744766153846153,37,497,0.16153846153846155,932.148329215759
55,20180326,4706.71303962,0.7508458935712089,0.7502306982466933,1.37,1.562082436173485,98,232,0.2079360196862504,876.0573934017086
56,20180327,5401.493895750001,0.9460708782742681,0.9460708782742681,2.41,2.7843297380585517,168,25,0.36240369799691835,888.9007558830739
57,20180328,4996.34678397,0.3322023442319556,0.3322023442319556,-0.69,-0.4803392967304133,99,163,0.3442319555829735,911.9869740354047
58,20180329,4787.1197269,0.7600246761258482,0.7594077729796422,0.95,1.0785194324491054,76,26,0.4108574953732264,906.6503030663054
59,20180330,4965.69710868,0.771243842364532,0.771243842364532,1.13,1.6304433497536948,237,32,0.5280172413793104,915.8460918573347
60,20180402,5743.05675493,0.4920049200492005,0.49169741697416974,0.0,0.5048277982779827,236,54,0.5535055350553506,928.4867981256623
61,20180403,4827.8520485300005,0.26744543498309253,0.2668306178911774,-1.31,-0.7856686135874577,148,144,0.4767906547802029,930.8304278558021
62,20180404,4717.65642042,0.335995085995086,0.3353808353808354,-0.54,-0.4143335380835381,123,150,0.44195331695331697,921.0768672946542
63,20180409,4365.86027294,0.4878498923408182,0.4878498923408182,0.0,0.42232236235004617,148,148,0.4395570593663488,916.6817945665931
64,20180410,4850.3354466,0.5638820638820639,0.5635749385749386,0.32,0.2357186732186732,113,43,0.45515970515970516,918.6174706716163
65,20180411,4814.37103949,0.6378992628992629,0.6369778869778869,0.46,0.8297420147420147,143,27,0.5377764127764127,921.1699350816018
66,20180412,4285.38820287,0.29871323529411764,0.29871323529411764,-0.81,-0.5143627450980391,126,66,0.5024509803921569,927.1102929215614
67,20180413,3961.79193052,0.381010719754977,0.37978560490045943,-0.28,-0.30647779479326187,84,83,0.4872894333843798,920.9711412588501
68,20180416,4504.57738491,0.30533415082771304,0.30502759043531574,-1.045,-0.7248651134273452,127,254,0.42213366033108524,918.2704956388815
69,20180417,4661.578472759999,0.1263803680981595,0.12607361963190183,-2.19,-2.3231257668711653,42,425,0.25920245398773006,910.144421064277
70,20180418,4942.2560321,0.7213517665130569,0.7210445468509985,0.99,1.2019569892473119,106,187,0.3228878648233487,889.6064398728809
71,20180419,4829.43653225,0.5205773955773956,0.5202702702702703,0.12,0.3232340294840294,99,90,0.3568796068796069,899.3563351406748
72,20180420,4471.19382129,0.11247695144437615,0.11247695144437615,-2.53,-2.5100891210817453,46,510,0.2249539028887523,901.3494618025068
73,20180423,3936.2857764600003,0.38969008898435104,0.3893832463945996,-0.45,-0.6933476526541885,41,426,0.19453820190242405,878.6350537188883
74,20180424,4522.0589930900005,0.9404907975460123,0.9404907975460123,2.0949999999999998,2.469211656441718,116,34,0.3147239263803681,873.6121270878425
75,20180425,4193.74389878,0.5252679938744257,0.5252679938744257,0.15,0.5187289433384379,127,80,0.3424196018376723,893.5488803561584
76,20180426,4248.38898281,0.11883614088820826,0.11883614088820826,-2.12,-2.0990137825421136,61,427,0.23981623277182235,896.5365903490674
77,20180427,4118.907331969999,0.59339651482727,0.5930907979211251,0.37,0.1604616325282788,88,229,0.2561907673494344,877.6240891928874
78,20180502,3850.13846392,0.3997551270278543,0.39944903581267216,-0.45,-0.5430272421181512,95,380,0.25038261401897766,879.9518187283845
79,20180503,4072.59050262,0.7135448444173277,0.7135448444173277,0.83,1.1603935326418549,94,151,0.3071995118974985,875.582738089641
80,20180504,3602.71024824,0.3863289594140983,0.3863289594140983,-0.29,-0.16810802563320112,100,190,0.3240768996032957,884.2965091855734
81,20180507,4216.94537531,0.9299207800121877,0.9293113954905545,1.57,1.9357068860450943,220,25,0.4680073126142596,882.2709925460867
82,20180508,4435.29308009,0.6582317073170731,0.6579268292682927,0.47,0.8535609756097561,146,29,0.5551829268292683,897.7359100157199
83,20180509,3824.0663839900003,0.43902439024390244,0.43902439024390244,-0.13,0.17962804878048783,109,41,0.5807926829268293,903.6769511002215
84,20180510,4125.09224429,0.5984779299847793,0.5975646879756469,0.32,0.646779299847793,164,36,0.6395738203957382,903.9011897192765
85,20180511,4139.641375499999,0.21003039513677813,0.2094224924012158,-1.24,-1.1879483282674772,75,63,0.5519756838905775,908.2705545159184
86,20180514,4070.50307148,0.3110773899848255,0.3110773899848255,-0.7,-0.6602336874051594,80,137,0.49074355083459786,897.244384643661
87,20180515,3779.0502934799997,0.7632776934749621,0.7629742033383915,0.94,1.237845220030349,124,54,0.6051593323216995,891.1420744545238
88,20180516,4016.91367223,0.30659806295399517,0.3062953995157385,-0.745,-0.44383474576271187,118,122,0.5590193704600485,900.8459219906173
89,20180517,3569.3670707700003,0.3884522370012092,0.3884522370012092,-0.29,-0.14638452237001207,68,149,0.5272067714631197,895.4911373274118
90,20180518,3760.0871695000005,0.6414752116082225,0.6408706166868199,0.455,0.549800483675937,77,59,0.5840386940749698,893.5372449661659
91,20180521,4609.85175257,0.8420096852300242,0.8420096852300242,1.13,1.4458625907990315,133,13,0.7191283292978208,898.0263782457881
92,20180522,4380.62990676,0.5584140435835351,0.5584140435835351,0.24,0.638386803874092,171,24,0.7318401937046005,909.5923410121585
93,20180523,4605.3119170499995,0.20114942528735633,0.20114942528735633,-1.31,-1.079697519661222,100,96,0.617059891107078,913.5872105584087
94,20180524,3820.1869223400004,0.38158691701998787,0.38007268322228954,-0.3,-0.13522410660205939,108,121,0.5663234403391884,902.6712251030805
95,20180525,3983.1069042399995,0.29107413010590016,0.2907715582450832,-0.94,-0.7716883509833585,88,231,0.4683812405446294,900.7069037155761
96,20180528,3978.0929221600004,0.29981884057971014,0.29981884057971014,-0.985,-0.9146739130434783,139,328,0.37983091787439616,892.9982561418749
97,20180529,4074.11855446,0.3041112454655381,0.30380894800483677,-0.67,-0.8597762998790811,51,339,0.3234582829504232,884.5162286839446
