,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
253,20210222,2,2,8,9,30,60,145,111,112.19055118110236,3.4114173228346454,0.5905511811023623
254,20210223,3,5,6,14,22,48,163,98,111.761568627451,3.5176470588235302,0.6196078431372549
255,20210224,2,4,7,4,17,40,122,74,111.3140625,2.240234375,0.3671875
256,20210225,1,2,6,6,19,35,96,69,110.86303501945524,1.795719844357977,0.2684824902723736
257,20210226,1,2,3,8,10,33,103,57,110.8031007751938,1.4244186046511629,0.2131782945736434
258,20210301,2,4,6,8,22,53,151,95,110.77297297297298,3.1447876447876446,0.5482625482625483
259,20210302,1,2,7,10,22,41,170,83,110.73384615384616,2.9057692307692307,0.5153846153846153
260,20210303,3,4,10,14,19,59,178,109,110.71494252873563,3.8831417624521074,0.7011494252873562
261,20210304,2,7,12,10,22,56,195,109,110.69618320610688,4.154580152671755,0.732824427480916
262,20210305,2,5,11,7,20,68,233,113,110.680608365019,3.9239543726235744,0.6996197718631179
263,20210308,5,1,10,7,23,62,175,108,111.06136363636364,3.276515151515152,0.5681818181818181
264,20210309,1,3,8,8,17,39,119,76,110.61811320754715,2.39622641509434,0.3886792452830189
265,20210310,2,0,9,5,20,43,112,79,110.57744360902257,2.009398496240601,0.2932330827067669
266,20210311,3,4,9,14,24,73,229,127,110.57303370786516,4.323970037453183,0.7865168539325843
267,20210312,7,4,7,20,38,93,315,169,111.0,5.014925373134329,0.8656716417910448
268,20210315,6,3,13,18,34,116,324,190,111.44237918215616,5.236059479553903,0.8698884758364313
269,20210316,7,3,19,14,44,86,321,173,111.87185185185186,5.162962962962963,0.8629629629629629
270,20210317,6,8,13,20,38,79,278,164,112.29446494464946,5.488929889298894,0.8745387453874539
271,20210318,3,8,12,12,26,66,158,127,112.28970588235296,4.444852941176471,0.7849264705882353
272,20210319,4,5,7,7,20,36,130,79,112.24981684981688,2.6062271062271063,0.4395604395604395
273,20210322,4,5,10,7,26,47,122,99,111.82481751824818,3.2627737226277373,0.5583941605839415
274,20210323,6,3,6,10,18,41,103,84,111.38909090909092,2.369090909090909,0.3781818181818182
275,20210324,6,3,8,6,16,36,108,75,110.94710144927537,2.0760869565217392,0.3007246376811594
276,20210325,5,2,8,8,10,38,87,71,110.50252707581228,1.7472924187725631,0.2454873646209386
277,20210326,2,7,5,9,10,32,145,65,110.45395683453238,2.3758992805755392,0.3848920863309353
278,20210329,5,4,6,7,9,30,114,61,110.40286738351254,1.7724014336917562,0.2544802867383512
279,20210330,3,5,7,6,10,28,85,59,110.35071428571428,1.6875000000000004,0.2428571428571428
280,20210331,2,6,8,4,9,28,82,57,110.29750889679715,1.6868327402135228,0.2419928825622775
281,20210401,2,3,10,7,12,29,80,63,109.84893617021278,1.7712765957446808,0.2588652482269503
282,20210402,3,1,8,9,16,21,79,58,109.39717314487632,1.558303886925795,0.215547703180212
283,20210406,3,5,9,12,17,35,111,81,108.96197183098592,2.892605633802817,0.5105633802816901
284,20210407,4,9,9,15,34,53,193,124,109.35719298245614,4.66842105263158,0.8175438596491228
285,20210408,5,5,8,14,21,76,189,129,109.75594405594408,4.27972027972028,0.7587412587412588
286,20210409,3,5,9,9,18,63,146,107,110.13937282229963,3.6254355400696863,0.6445993031358885
287,20210412,5,2,9,14,19,50,123,99,109.71736111111112,3.1041666666666665,0.5347222222222222
288,20210413,4,3,8,8,22,54,127,99,109.2955017301038,3.0761245674740487,0.5294117647058824
289,20210414,3,4,6,12,19,46,139,90,108.86758620689656,3.0431034482758617,0.5275862068965518
290,20210415,3,3,5,12,15,39,105,77,108.43092783505156,2.2439862542955327,0.3608247422680413
291,20210416,3,2,7,9,19,46,120,86,108.40068493150686,2.549657534246576,0.434931506849315
292,20210419,2,3,6,8,23,52,156,94,108.37610921501708,3.0784982935153584,0.5358361774744027
293,20210420,3,2,7,4,21,48,111,85,108.34557823129252,2.277210884353741,0.3605442176870748
294,20210421,2,1,9,9,22,54,147,97,108.32338983050848,3.123728813559322,0.5491525423728814
295,20210422,2,1,12,13,25,76,175,129,108.32297297297298,4.092905405405405,0.7297297297297297
296,20210423,2,1,9,11,31,74,178,128,108.32188552188552,3.968013468013469,0.7104377104377104
297,20210426,3,1,8,10,19,67,140,108,108.30738255033556,3.145973154362416,0.5536912751677852
298,20210427,4,3,4,8,24,58,135,101,108.28829431438128,3.0033444816053514,0.5183946488294314
299,20210428,6,2,9,10,29,72,161,128,108.28733333333334,3.95,0.7066666666666667
300,20210429,4,2,8,11,24,66,154,115,108.2777408637874,3.6245847176079735,0.6478405315614618
301,20210430,6,2,9,14,27,65,139,123,108.67350993377484,3.846026490066225,0.6887417218543046
302,20210506,6,2,11,9,29,69,141,126,109.07128712871288,3.83003300330033,0.6798679867986799
303,20210507,7,1,9,12,15,49,119,93,108.64736842105263,2.6661184210526314,0.4506578947368421
304,20210510,6,7,10,15,28,56,127,122,109.04262295081968,4.270491803278689,0.7704918032786885
305,20210511,5,6,14,11,26,50,129,112,109.4313725490196,4.044117647058823,0.7222222222222222
306,20210512,8,6,11,21,35,60,167,141,109.83908794788272,5.021172638436482,0.8729641693811074
307,20210513,10,2,13,21,35,80,193,161,109.85974025974026,4.972402597402598,0.8571428571428572
308,20210514,9,4,18,26,40,97,192,194,109.90161812297734,5.616504854368933,0.9029126213592232
309,20210517,7,2,16,17,38,79,183,159,109.92064516129032,4.904838709677419,0.8483870967741935
310,20210518,9,3,20,20,35,90,189,177,109.95112540192926,5.302250803858521,0.8810289389067524
311,20210519,8,7,16,16,42,82,165,171,110.37756410256412,5.395833333333333,0.8846153846153846
312,20210520,5,6,9,22,30,60,143,132,110.77891373801918,4.597444089456869,0.805111821086262
313,20210521,6,5,10,25,29,64,144,139,111.18471337579618,4.671974522292993,0.8152866242038217
314,20210524,6,9,8,12,32,71,158,138,111.58984126984129,4.593650793650793,0.7968253968253969
315,20210525,7,6,16,13,27,66,179,135,111.59303797468355,4.7515822784810124,0.8164556962025317
316,20210526,6,5,19,19,33,63,178,145,111.602523659306,5.111987381703471,0.8675078864353312
317,20210527,7,8,19,12,38,80,197,164,111.6238993710692,5.394654088050314,0.8836477987421384
318,20210528,10,10,18,13,51,84,211,186,111.658934169279,5.661442006269592,0.9090909090909092
319,20210531,8,18,17,26,44,99,243,212,112.11,6.1703125,0.95625
320,20210601,8,11,29,28,45,108,254,229,112.57133956386294,6.328660436137072,0.9657320872274144
321,20210602,10,9,21,29,41,101,221,211,112.62111801242236,6.108695652173912,0.9472049689440992
322,20210603,7,8,23,17,50,87,214,192,112.65882352941176,5.829721362229102,0.9195046439628484
323,20210604,7,6,28,27,59,109,245,236,112.72345679012346,6.154320987654321,0.9475308641975309
324,20210607,6,13,24,39,55,123,285,260,112.80246153846154,6.458461538461538,0.9784615384615384
325,20210608,8,10,21,22,56,96,264,213,113.25214723926382,6.144171779141104,0.941717791411043
326,20210609,8,7,24,18,45,88,241,190,113.6874617737003,5.7828746177370025,0.9051987767584098
327,20210610,7,11,23,31,52,98,274,222,113.74207317073171,6.282012195121951,0.9573170731707316
328,20210611,7,5,28,19,47,79,188,185,113.77386018237084,5.51823708206687,0.8693009118541033
329,20210615,6,8,18,34,35,95,217,196,113.8121212121212,5.8106060606060606,0.9030303030303032
330,20210616,7,6,15,21,33,68,169,150,113.82235649546828,5.016616314199396,0.8277945619335347
331,20210617,8,5,22,23,38,94,209,190,113.8566265060241,5.618975903614458,0.8765060240963856
332,20210618,7,9,21,26,49,110,227,222,113.90990990990991,6.084084084084084,0.9309309309309308
333,20210621,10,8,26,34,56,134,271,268,114.79041916167664,6.341317365269461,0.9640718562874252
334,20210622,11,5,23,31,51,130,239,251,115.6602985074627,5.998507462686567,0.9194029850746268
335,20210623,12,4,26,28,63,128,229,261,116.13571428571429,5.9375,0.9077380952380952
336,20210624,8,5,27,23,46,111,227,220,116.58635014836796,5.832344213649852,0.8991097922848664
337,20210625,6,4,22,23,35,105,191,195,116.62189349112428,5.38905325443787,0.834319526627219
338,20210628,6,6,23,24,39,123,216,221,116.67256637168144,5.825958702064897,0.8938053097345133
339,20210629,4,4,19,27,29,93,179,176,116.6964705882353,5.083823529411764,0.8117647058823529
340,20210630,6,4,20,19,42,103,162,194,116.73079178885632,5.205278592375366,0.8181818181818181
341,20210701,3,8,24,18,18,88,165,159,117.14444444444445,4.875730994152047,0.7690058479532164
342,20210702,7,6,18,24,27,85,176,167,117.56268221574344,5.0816326530612255,0.8075801749271136
343,20210705,6,11,22,19,51,82,188,191,117.99476744186047,5.690406976744185,0.8691860465116279
344,20210706,3,9,19,19,41,75,139,166,118.41217391304347,5.1,0.808695652173913
345,20210707,5,11,22,24,50,72,178,184,118.8398843930636,5.628612716763006,0.8612716763005781
346,20210708,5,9,21,37,42,73,176,187,119.26916426512967,5.615273775216139,0.8530259365994236
347,20210709,4,8,20,19,43,92,165,186,119.29770114942528,5.4109195402298855,0.8333333333333334
348,20210712,6,12,31,29,49,106,210,233,119.35300859598854,6.223495702005732,0.9512893982808024
349,20210713,6,9,29,36,59,114,206,253,119.41942857142855,6.277142857142858,0.9542857142857144
350,20210714,4,14,35,39,68,106,226,266,119.4928774928775,6.464387464387465,0.98005698005698
351,20210715,5,10,39,38,58,93,216,243,119.5528409090909,6.251420454545455,0.9460227272727272
352,20210716,5,12,34,29,53,101,188,234,119.60736543909348,6.143059490084985,0.9263456090651558
353,20210719,3,8,30,29,43,81,194,194,120.03898305084746,5.757062146892656,0.8615819209039548
354,20210720,6,10,28,29,44,71,187,188,120.46704225352114,5.666197183098592,0.8535211267605634
355,20210721,5,16,29,37,52,84,179,223,120.91460674157304,6.075842696629213,0.9157303370786516
356,20210722,12,15,40,41,60,96,200,264,121.38487394957984,6.38235294117647,0.9719887955182072
357,20210723,9,14,34,34,57,107,215,255,121.44972067039107,6.347765363128492,0.9636871508379888
358,20210726,8,13,32,28,49,112,180,242,121.50696378830084,6.087743732590529,0.913649025069638
359,20210727,6,10,19,22,42,73,163,172,121.925,5.173611111111111,0.7833333333333333
360,20210728,4,11,17,19,23,68,108,142,122.32631578947368,4.228531855955678,0.6509695290858726
361,20210729,12,12,39,26,59,97,205,245,122.78453038674034,6.176795580110498,0.9337016574585636
362,20210730,15,14,34,36,69,111,226,279,123.2611570247934,6.464187327823691,0.977961432506887
363,20210802,11,8,31,28,78,121,230,277,123.73626373626377,6.240384615384616,0.9368131868131868
364,20210803,6,11,13,25,58,109,217,222,124.18082191780822,5.776712328767124,0.8547945205479452
365,20210804,6,11,14,35,57,118,254,241,124.23551912568306,6.024590163934427,0.8934426229508197
366,20210805,6,7,23,31,50,106,200,223,124.2801089918256,5.79291553133515,0.8583106267029973
367,20210806,8,5,22,32,46,100,208,213,124.31902173913043,5.578804347826087,0.8070652173913043
368,20210809,7,6,12,26,39,73,196,163,124.33062330623306,4.861788617886178,0.7154471544715447
369,20210810,7,4,16,28,44,75,181,174,124.74810810810811,4.859459459459459,0.7135135135135136
370,20210811,8,6,29,26,53,89,249,211,125.18544474393532,5.781671159029649,0.8544474393530997
371,20210812,11,9,33,25,54,113,236,245,125.24086021505376,6.098118279569892,0.9086021505376344
372,20210813,11,7,29,31,50,110,252,238,125.2922252010724,6.018766756032172,0.8900804289544236
373,20210816,11,10,24,23,48,93,210,209,125.72780748663102,5.692513368983956,0.8288770053475936
374,20210817,7,10,13,20,34,66,167,150,126.13173333333334,4.642666666666667,0.6799999999999999
375,20210818,6,9,16,10,37,68,131,146,126.13351063829788,4.160904255319149,0.6090425531914894
376,20210819,4,7,16,12,27,51,159,117,126.11989389920426,3.7466843501326266,0.53315649867374
377,20210820,7,5,17,11,32,60,150,132,126.11428571428571,3.8716931216931214,0.5661375661375662
