,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
83,20200610,,4,4,3,,3,4,4,2,4,3,1,1,4,2,1,,4,1,3,1,2,4,,3,2,2,3,3,1,4,4,2,4,4,3,3,1,2,1,4,2,1,4,,4,4
84,20200611,,4,4,4,,3,4,3,3,4,3,1,1,4,1,2,,4,1,4,2,1,4,,3,1,3,2,4,1,4,2,2,3,,3,4,2,2,1,4,4,2,4,,,4
85,20200612,,4,4,,,4,3,4,3,4,4,1,1,4,1,1,,4,1,3,2,2,3,,3,1,2,2,4,1,4,2,2,4,,3,4,3,2,1,4,3,2,,,4,4
86,20200615,,4,4,4,,4,3,4,2,,4,1,2,4,1,1,,3,2,3,4,2,4,,3,1,3,1,4,1,4,3,2,4,,3,4,2,1,1,4,2,3,4,,2,4
87,20200616,,4,4,3,,4,2,4,3,4,3,1,1,4,1,1,4,3,1,4,2,1,4,,3,1,3,3,3,2,4,2,2,4,4,4,4,1,2,2,4,2,1,,,3,4
88,20200617,,4,3,4,,4,3,4,4,4,2,1,4,4,1,2,4,3,1,2,2,2,4,,2,1,3,3,3,1,4,2,3,3,4,3,4,1,1,1,4,2,1,4,,4,
89,20200618,,4,3,3,,4,4,4,4,4,3,1,1,4,1,2,3,3,1,4,2,2,4,,2,1,2,2,,1,4,3,3,4,,4,4,2,1,1,4,2,,4,,3,
90,20200619,,4,4,3,,4,3,4,4,3,3,1,1,4,2,2,4,3,1,3,2,1,4,,1,1,2,2,4,1,4,3,2,4,4,4,4,2,1,1,3,2,4,4,,3,
91,20200622,,3,3,4,,4,2,3,4,4,2,1,1,4,1,4,4,4,1,4,2,1,3,,2,1,3,2,2,1,4,3,4,3,4,4,4,2,1,2,1,2,4,4,,4,3
92,20200623,,3,3,3,4,4,2,4,4,4,2,1,1,4,1,2,4,4,1,4,2,2,3,,3,1,1,4,4,1,4,2,3,3,2,4,4,2,1,1,2,4,4,4,,,3
93,20200624,,4,4,3,,,4,3,4,4,2,1,1,4,1,2,4,4,1,4,1,2,3,,4,1,2,4,3,1,4,2,3,3,4,4,,2,1,1,4,2,2,3,,4,3
94,20200629,,4,4,3,,4,4,4,4,4,2,1,1,3,2,2,,4,1,4,3,2,1,,2,1,4,4,4,1,,2,4,4,,3,3,2,1,1,3,2,4,3,,4,3
95,20200630,,4,4,4,,4,4,3,4,,2,1,1,4,2,1,,4,1,4,3,2,3,,3,2,4,4,1,2,,3,4,2,4,3,4,2,1,1,1,2,4,3,,3,4
96,20200701,,3,4,3,,2,4,4,4,,4,1,1,,1,1,4,4,2,4,3,2,3,,2,2,4,4,2,1,,2,2,3,,4,4,1,3,1,3,3,1,4,,4,4
97,20200702,2,4,4,3,,4,3,4,4,,2,1,1,4,1,3,4,4,3,4,4,1,3,,2,1,2,4,3,2,,1,2,3,4,4,4,1,2,1,2,3,1,3,,4,4
98,20200703,,3,4,3,4,4,4,3,4,,3,1,2,4,1,3,4,4,1,4,4,2,2,,2,1,2,4,,2,,1,3,2,,4,4,1,2,1,4,3,1,3,,4,4
99,20200706,,4,3,2,,3,3,4,4,4,1,1,1,4,1,4,4,4,2,4,4,2,2,,3,1,1,4,4,2,,2,3,3,,4,4,3,1,2,2,3,,1,,4,
100,20200707,,4,3,3,,,3,3,4,4,1,1,2,4,1,4,4,4,2,3,3,2,2,,1,1,2,4,4,2,4,1,4,2,4,4,4,3,1,1,2,3,1,3,,4,4
101,20200708,,3,4,2,,4,4,3,3,4,2,1,2,3,1,4,4,4,2,4,3,1,1,,4,1,3,4,3,2,,1,4,4,4,3,4,3,1,2,1,2,2,1,,4,4
102,20200709,,4,3,2,,4,3,2,4,,2,1,1,4,1,,4,4,2,3,4,1,2,,3,1,3,4,4,3,4,1,4,2,3,4,4,2,1,3,1,2,1,4,,4,4
103,20200710,,3,2,1,,4,3,3,4,,2,1,1,4,2,4,,4,1,4,4,2,4,,2,1,4,3,4,4,,1,2,4,3,4,4,2,1,2,1,3,4,3,,3,
104,20200713,,2,4,2,,4,2,1,3,4,2,1,1,4,1,,4,3,3,3,4,2,4,,3,1,3,2,4,4,,1,3,2,4,4,4,3,1,1,1,2,4,4,,4,4
105,20200714,,4,4,3,,4,4,4,4,4,1,1,1,4,1,4,4,3,1,4,2,1,2,,4,1,3,4,4,3,,2,4,3,,3,3,2,1,1,2,2,2,2,,3,4
106,20200715,,3,4,4,,4,3,2,2,,2,1,3,4,1,4,4,3,1,4,2,2,4,,4,1,1,4,4,3,,1,3,2,3,4,,2,2,1,4,1,1,3,,4,4
107,20200716,,3,4,4,4,4,3,3,3,4,2,1,1,4,1,,4,4,1,3,2,1,4,,4,1,1,3,4,3,,2,3,2,4,2,4,3,2,1,4,1,2,2,,4,4
108,20200717,,3,4,4,4,4,2,3,3,4,2,1,2,4,1,4,,4,1,4,2,1,2,,4,1,3,4,4,1,,3,3,2,4,4,,3,2,1,3,1,4,2,,4,
109,20200720,2,2,4,3,4,,3,2,4,4,2,1,1,2,1,4,4,4,1,4,3,1,3,,3,1,2,4,4,3,,1,2,2,4,3,4,3,1,1,2,4,4,4,,4,4
110,20200721,,3,4,4,4,4,2,3,4,4,3,1,1,4,1,,,4,1,4,3,1,4,,2,1,2,4,2,1,,4,4,2,3,2,4,2,1,1,3,2,3,3,,4,4
111,20200722,1,2,,3,4,4,3,3,3,4,2,1,1,4,1,4,,3,1,4,4,1,4,,4,1,2,4,2,2,,2,2,2,4,3,4,3,1,1,3,4,4,4,,3,4
112,20200723,,1,4,4,4,3,2,2,4,,4,1,1,3,1,4,4,4,2,4,4,1,3,,4,1,1,4,2,2,,3,3,1,4,3,4,2,4,1,4,3,3,2,,3,2
113,20200724,1,3,,3,4,3,3,4,3,,4,1,2,4,1,2,,4,1,4,4,1,4,,3,1,2,4,3,1,4,4,1,2,4,2,4,2,3,1,3,4,2,4,,2,4
114,20200727,1,2,4,4,4,3,4,3,3,4,3,1,2,4,1,2,,4,1,4,4,1,4,,3,1,2,4,3,2,,3,2,2,4,2,4,1,2,1,4,4,1,4,,3,4
115,20200728,,4,4,3,,2,4,3,2,4,4,1,1,3,1,2,,4,2,4,4,2,2,,3,1,1,3,3,1,,4,4,3,4,2,4,1,3,1,4,2,1,4,,4,4
116,20200729,,4,4,3,,4,2,3,3,3,4,1,1,4,1,2,4,4,4,4,3,1,4,,2,1,1,4,3,2,4,3,2,2,4,2,4,1,1,2,4,2,1,3,,4,4
117,20200730,,3,4,4,,4,3,4,4,4,4,1,1,4,1,,3,4,4,4,3,1,2,,3,1,2,2,1,1,4,3,2,2,4,2,4,1,3,2,4,1,2,3,,3,4
118,20200731,,2,4,4,,4,4,3,4,,4,1,3,3,1,3,4,4,2,4,3,1,4,,2,1,2,3,3,2,,4,2,1,4,2,,1,2,1,4,1,4,4,,3,4
119,20200803,,2,3,3,4,4,4,1,2,4,,1,1,4,1,4,4,4,4,4,3,1,3,,2,1,2,3,,2,4,3,2,1,4,2,4,1,1,4,4,2,3,3,,4,3
120,20200804,,1,4,4,3,3,3,3,2,4,4,1,1,2,1,4,4,4,4,4,3,1,2,,2,1,1,4,4,1,,3,3,2,4,2,4,1,2,2,4,2,3,4,,4,4
121,20200805,,1,3,4,4,2,4,4,3,4,4,1,2,4,1,4,3,4,2,4,2,1,3,,3,1,2,4,3,1,4,3,2,2,4,1,,1,2,2,4,1,4,4,,4,3
122,20200806,,4,3,3,3,2,1,2,3,,4,1,1,4,1,4,4,4,3,4,2,1,3,,3,1,2,4,4,2,4,3,2,1,,2,4,1,4,1,,2,4,4,,4,4
123,20200807,,4,3,4,,2,2,2,3,4,,1,2,4,1,4,4,4,4,4,2,1,4,,2,1,3,4,3,1,4,3,3,2,4,1,4,2,1,1,3,1,3,4,,4,3
124,20200810,2,3,4,4,,3,2,3,3,4,4,1,1,4,1,3,,4,2,4,3,1,3,,3,1,2,4,4,1,4,1,2,2,4,2,4,1,2,1,4,2,4,4,,4,4
125,20200811,2,2,4,2,,4,4,3,4,4,4,1,1,4,1,1,,4,2,4,3,1,4,,3,1,2,,4,2,4,3,3,2,4,3,4,1,1,1,3,4,2,3,,4,3
126,20200812,,2,4,2,3,4,4,4,4,4,4,1,1,3,1,4,,4,2,4,4,1,4,,4,1,3,3,2,3,4,2,2,2,,3,3,1,1,1,3,2,1,3,,4,4
127,20200813,,4,4,3,3,3,3,4,4,,,1,1,4,1,4,4,4,1,4,4,2,4,,4,1,2,3,2,4,,2,3,2,,2,4,2,1,1,3,2,1,4,,3,4
128,20200814,,2,4,1,4,4,4,4,3,4,,1,1,4,1,1,4,4,2,4,4,2,3,,2,1,2,4,2,3,4,3,3,2,4,2,4,3,1,1,4,1,2,4,,3,3
129,20200817,,3,3,2,4,4,4,4,2,4,,1,2,4,1,4,4,3,1,3,3,2,4,,2,1,1,,4,1,4,2,3,3,4,1,4,2,1,1,4,4,4,3,,3,2
130,20200818,2,2,4,2,4,4,4,4,4,4,4,1,1,4,1,1,4,,2,4,3,1,3,,2,1,1,,3,3,4,2,3,2,4,3,4,2,1,1,2,4,3,4,,3,4
131,20200819,,4,3,3,,3,4,3,4,4,4,1,1,3,1,3,,4,1,4,2,2,4,,2,1,2,3,4,3,4,2,4,2,4,2,4,1,1,1,3,2,1,4,,4,4
132,20200820,,4,4,3,4,4,3,3,4,4,4,1,2,3,1,1,4,4,1,2,3,1,3,,2,1,1,4,3,4,4,2,4,3,,2,,2,1,1,2,2,3,4,,4,4
