,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
91,20200622.0,4.0,4,3.0,4.0,1.0,2.0,3.0,2,1,3.0,1.0,2.0,4.0,4.0,4.0
92,20200623.0,4,4.0,4.0,4.0,1.0,2.0,3.0,2,1,3.0,1.0,2.0,4.0,3.0,4.0
93,20200624.0,4.0,4,4.0,4.0,1.0,2.0,3.0,2,1,4.0,1.0,2.0,4.0,3.0,3.0
94,20200629.0,4.0,4,4.0,3.0,1.0,2.0,2.0,2,1,4.0,1.0,3.0,4.0,4.0,3.0
95,20200630.0,4.0,4,4.0,4.0,1.0,2.0,2.0,2,1,3.0,1.0,3.0,4.0,4.0,3.0
96,20200701.0,4.0,4,4.0,3.0,1.0,2.0,2.0,1,1,3.0,2.0,4.0,4.0,4.0,3.0
97,20200702.0,4.0,4,3.0,4.0,2.0,3.0,2.0,1,1,1.0,2.0,3.0,4.0,4.0,4.0
98,20200703.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2,1,1.0,2.0,3.0,4,3.0,4.0
99,20200706.0,4.0,4.0,4,4.0,3.0,1.0,2.0,2,1,1.0,2.0,3.0,4,4.0,4.0
100,20200707.0,4.0,4,4.0,4.0,2.0,2.0,3.0,2,1,1.0,1.0,3.0,4,4.0,4.0
101,20200708.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,1,1,1.0,2.0,3.0,4,4.0,4.0
102,20200709.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2,1,1.0,3.0,4.0,4,4.0,3.0
103,20200710.0,4,4.0,4.0,2.0,1.0,2.0,4.0,2,1,1.0,3.0,3.0,4.0,4.0,3.0
104,20200713.0,4.0,4.0,4,3.0,1.0,2.0,3.0,1,1,2.0,2.0,3.0,4.0,4.0,4.0
105,20200714.0,1.0,4.0,4,3.0,1.0,2.0,3.0,2,1,3.0,2.0,4.0,4.0,4.0,4.0
106,20200715.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,1,1,3.0,1.0,4.0,4,4.0,3.0
107,20200716.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1,1,3.0,1.0,4.0,4,4.0,3.0
108,20200717.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,1,2,4.0,1.0,3.0,4,4.0,3.0
109,20200720.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,2,2,4.0,1.0,3.0,4,4.0,3.0
110,20200721.0,4.0,4.0,4,2.0,3.0,1.0,1.0,2,2,4.0,1.0,3.0,4.0,4.0,3.0
111,20200722.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2,2,4,3.0,3.0,4.0,4.0,3.0
112,20200723.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2,3,4.0,1.0,3.0,4.0,4,3.0
113,20200724.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,2,3,4,1.0,4.0,4.0,4.0,3.0
114,20200727.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,3,3,4,1.0,4.0,4,4.0,2.0
115,20200728.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,3,2,4,1.0,4.0,4.0,4.0,3.0
116,20200729.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2,1,4.0,2.0,3.0,4.0,4,3.0
117,20200730.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2,2,4,1.0,4.0,4,4.0,3.0
118,20200731.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2,1,4.0,1.0,4.0,4,4.0,3.0
119,20200803.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3,1,4.0,1.0,4.0,4,3.0,4.0
120,20200804.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,3,1,4,2.0,3.0,4.0,4.0,4.0
121,20200805.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,2,1,4,3.0,4.0,4.0,4.0,3.0
122,20200806.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3,1,4,2.0,3.0,4.0,4.0,2.0
123,20200807.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,2,1,4,2.0,3.0,4.0,4.0,3.0
124,20200810.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,2,2,4,2.0,3.0,4.0,4.0,3.0
125,20200811.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,1,3,4,2.0,3.0,4.0,4.0,2.0
126,20200812.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,2,3,4,3.0,2.0,4.0,4.0,1.0
127,20200813.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,2,2,4,3.0,3.0,4.0,4.0,3.0
128,20200814.0,2.0,4.0,4,1.0,4.0,2.0,2.0,1,1,4.0,3.0,3.0,4.0,4.0,3.0
129,20200817.0,4.0,4.0,4,1.0,4.0,2.0,2.0,1,1,4.0,2.0,3.0,4,4.0,3.0
130,20200818.0,3.0,4.0,4,1.0,4.0,2.0,2.0,1,1,4.0,2.0,3.0,4.0,4.0,3.0
131,20200819.0,1.0,4.0,4,2.0,4.0,2.0,1.0,1,2,4.0,3.0,3.0,4.0,4.0,3.0
132,20200820.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,1,1,4,2.0,3.0,4.0,4.0,3.0
133,20200821.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1,2,4,2.0,2.0,4.0,3.0,4.0
134,20200824.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,1,1,4.0,2.0,2.0,4,4.0,3.0
135,20200825.0,2.0,3.0,4.0,4,4.0,2.0,1.0,1,1,4.0,3.0,2.0,3.0,4.0,4.0
136,20200826.0,4.0,1.0,3.0,4,4.0,2.0,2.0,1,1,4.0,3.0,2.0,4.0,4.0,3.0
137,20200827.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,1,1,4,1.0,2.0,3.0,4.0,2.0
138,20200828.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,1,1,4.0,1.0,2.0,4.0,4,2.0
139,20200831.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,1,3,4.0,1.0,2.0,4.0,4,2.0
140,20200901.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2,2,4,1.0,1.0,4.0,4.0,1.0
