,date,style,field
172,20231023,6.246274872190475,6.590167977749287
173,20231024,5.746781459845329,9.238771259180911
174,20231025,6.518989201204898,8.569440427387049
175,20231026,6.790683949672333,7.6865823174104095
176,20231027,6.224036403252013,10.357403037536448
177,20231030,6.142082081949579,9.447501370769643
178,20231031,6.34175495461341,9.137980508080904
179,20231101,6.006487845290412,7.628774457379095
180,20231102,5.300410569731351,7.5211464265023995
181,20231103,6.034581680404191,5.643402971586811
182,20231106,5.833839285961479,6.35499442415764
183,20231107,5.377163002742401,5.01382663989262
184,20231108,6.6339706688760645,9.463511233230458
185,20231109,7.063034806528144,8.511408580059827
186,20231110,6.182825976714787,9.448737776089
187,20231113,6.069521318245586,10.698123207095875
188,20231114,6.55958239268645,5.659321839673899
189,20231115,5.526351411313433,8.76368804781363
190,20231116,6.278746492755124,7.781724187471167
191,20231117,7.4006787363229956,5.24859125888808
192,20231120,5.921479100732018,8.333498199849853
193,20231121,6.337690390234015,6.359944055918691
194,20231122,5.733133866593562,7.520637265473602
195,20231123,5.727860530631809,7.630592783987817
196,20231124,6.430115085404727,6.284213495862792
197,20231127,6.366624262644441,5.711716214271846
198,20231128,6.0056396660935665,4.323534559150173
199,20231129,6.391795083858433,4.478045447626774
200,20231130,5.853451890558301,6.821038493456156
201,20231201,6.449498527847533,4.797181092829006
202,20231204,5.431885901456201,8.271315131369382
203,20231205,5.770101756389962,7.593470724044113
204,20231206,7.120361410582071,7.619532104469379
205,20231207,5.553688485933931,7.684363125462955
206,20231208,6.616584752088485,5.922625858731465
207,20231211,6.11565689102278,8.54783288381909
208,20231212,5.747425668580205,7.200372126060615
209,20231213,6.352197398592931,8.166429522109224
210,20231214,5.110375479019143,6.639376861433328
211,20231215,5.691506820375349,9.24131570049689
212,20231218,4.952439300132718,6.660925198272104
213,20231219,5.055006206013159,7.524881527237769
214,20231220,7.348238784215357,7.007483541515351
215,20231221,6.350388747892553,7.34686796394195
216,20231222,6.848307748372195,6.428438043391759
217,20231225,6.513915884840815,7.728296256082876
218,20231226,6.718319346887343,6.168706604474019
219,20231227,6.813363254084896,6.170297985103615
220,20231228,6.287080157275649,7.9501518327117475
221,20231229,5.374188648124319,7.356294782618492
222,20240102,5.592939099372727,7.6188717321040285
223,20240103,5.933413842092312,7.572780302839133
224,20240104,6.046252568879738,8.42980741834461
225,20240105,6.728367694729855,9.828980382630375
226,20240108,6.784006524065794,8.920401964944377
227,20240109,5.975087300491901,6.389192463401677
228,20240110,5.919309939986932,6.714746461459196
229,20240111,7.194493903423244,9.898402112129606
230,20240112,7.020385100982561,9.223154011549102
231,20240115,5.339276009119954,6.1514570815677985
232,20240116,5.795506460398754,6.084018064379187
233,20240117,6.2310592994120855,4.121464611847202
234,20240118,6.1969900361202015,5.100903697476311
235,20240119,5.572463493762054,6.637651177576158
236,20240122,6.088058157587274,7.1650639633902555
237,20240123,5.192877828776331,7.876344280541888
238,20240124,5.805360504455261,8.590645413854642
239,20240125,5.936909035321186,7.5749003206829695
240,20240126,5.73155527751931,7.39769337472756
241,20240129,5.208744754079958,5.699932755702666
242,20240130,5.191155616157402,6.705260149934456
243,20240131,6.196996070811878,7.379048103255682
244,20240201,6.174662093231041,6.62367142927527
245,20240202,5.447533771935939,8.235016757532254
246,20240205,5.181538447680205,7.394210125253503
247,20240206,5.633593270239017,7.378315877851831
248,20240207,5.733058108983386,7.81528901684625
249,20240208,6.839175725376661,9.23243424795149
250,20240219,6.394429738514713,7.8685943639779286
251,20240220,6.500685070052953,8.222180102080632
