date	Labels	Values
20190510	weighted_emo	53.6273717451547
20190513	weighted_emo	-14.456288374160582
20190514	weighted_emo	-18.94154126592681
20190515	weighted_emo	28.133592253975817
20190516	weighted_emo	6.677941486248649
20190517	weighted_emo	-49.20249876340648
20190520	weighted_emo	-8.022687420222345
20190521	weighted_emo	21.80696807665421
20190522	weighted_emo	-14.673404436234373
20190523	weighted_emo	-32.860765072527315
20190524	weighted_emo	-13.279545382580016
20190527	weighted_emo	42.487552025888256
20190528	weighted_emo	-4.353923931850435
20190529	weighted_emo	1.641963287691804
20190530	weighted_emo	-12.058629241459927
20190531	weighted_emo	-2.236162952459384
20190603	weighted_emo	-21.78172253369829
20190604	weighted_emo	-24.83032867274936
20190605	weighted_emo	-2.975225727033993
20190606	weighted_emo	-33.720269212668704
20190610	weighted_emo	11.528372074331193
20190611	weighted_emo	61.87745121757095
20190612	weighted_emo	-10.36289602354705
20190613	weighted_emo	7.159771294151652
20190614	weighted_emo	-32.278528150616175
20190617	weighted_emo	-3.4472989238461844
20190618	weighted_emo	-6.369652097171855
20190619	weighted_emo	18.41063644163941
20190620	weighted_emo	25.91345820536994
20190621	weighted_emo	31.52955997852764
20190624	weighted_emo	-0.314742443264613
20190625	weighted_emo	-12.501435247479472
20190626	weighted_emo	0.902321301165354
20190627	weighted_emo	9.39258746793513
20190628	weighted_emo	-18.634688806317243
20190701	weighted_emo	54.716037547699415
20190702	weighted_emo	3.3376938765299125
20190703	weighted_emo	-13.83077923448298
20190704	weighted_emo	-5.358077175965351
20190705	weighted_emo	4.074764413479182
20190708	weighted_emo	-46.23857063141714
20190709	weighted_emo	-0.4786649341007887
20190710	weighted_emo	-14.190127969526412
20190711	weighted_emo	-4.336103921060127
20190712	weighted_emo	0.0045182281772997
20190715	weighted_emo	11.022143226065133
20190716	weighted_emo	-1.4465549238102473
20190717	weighted_emo	-6.660069219401928
20190718	weighted_emo	-28.030261461837032
20190719	weighted_emo	2.589273539317076
20190722	weighted_emo	-27.450750612791182
20190723	weighted_emo	13.158082796080397
20190724	weighted_emo	14.01398569707659
20190725	weighted_emo	-1.0771315795871923
20190726	weighted_emo	-3.861906797885876
20190729	weighted_emo	-4.525293686710162
20190730	weighted_emo	4.136252691227889
20190731	weighted_emo	-11.772413685565263
20190801	weighted_emo	-6.76648672595518
20190802	weighted_emo	-17.951050548192576
20190805	weighted_emo	-10.790621864410603
20190806	weighted_emo	-25.31840108676592
20190807	weighted_emo	0.0928592706324899
20190808	weighted_emo	6.2547558652465725
20190809	weighted_emo	-10.85616631591582
20190812	weighted_emo	22.305400172547287
20190813	weighted_emo	-10.099555350251192
20190814	weighted_emo	4.011239638779349
20190815	weighted_emo	1.1429077071109774
20190816	weighted_emo	2.7212325973160083
20190819	weighted_emo	54.82442382439707
20190820	weighted_emo	1.5279586340485594
20190821	weighted_emo	-0.2274846127791718
20190822	weighted_emo	5.020039632882465
20190823	weighted_emo	-4.3274476830886845
20190826	weighted_emo	-11.144982551744835
20190827	weighted_emo	34.140546026842685
20190828	weighted_emo	2.161389144354388
20190829	weighted_emo	-0.3455108733826304
20190830	weighted_emo	-17.29083647803958
20190902	weighted_emo	45.893445260728
20190903	weighted_emo	14.17176894128132
20190904	weighted_emo	16.832206021909496
20190905	weighted_emo	19.71177452802164
20190906	weighted_emo	12.096665007915412
20190909	weighted_emo	44.21393655657233
20190910	weighted_emo	10.403037858992937
20190911	weighted_emo	-4.245520109139255
20190912	weighted_emo	12.816546420381238
20190916	weighted_emo	10.6709877946444
20190917	weighted_emo	-27.78701946187337
20190918	weighted_emo	3.3386420410797752
20190919	weighted_emo	20.25452234510841
20190920	weighted_emo	6.465883003937962
20190923	weighted_emo	-9.090116069693364
20190924	weighted_emo	6.754015818870948
20190925	weighted_emo	-24.10668333254381
20190926	weighted_emo	-34.59917898233611
20190927	weighted_emo	9.566514096432764
20190930	weighted_emo	-17.076946824329987
20191008	weighted_emo	-0.6848700991726885
20191009	weighted_emo	10.93768792888658
20191010	weighted_emo	15.919298925936712
20191011	weighted_emo	1.353813942406189
20191014	weighted_emo	27.211613952315524
20191015	weighted_emo	-13.448161031803602
20191016	weighted_emo	-9.634563497087408
20191017	weighted_emo	-5.364670942611689
20191018	weighted_emo	-18.47356867940976
20191021	weighted_emo	-6.361487284348849
20191022	weighted_emo	14.3774375770587
20191023	weighted_emo	-10.970448383991412
20191024	weighted_emo	-3.2763362805151983
20191025	weighted_emo	8.29621592107885
20191028	weighted_emo	30.42013775859913
20191029	weighted_emo	-17.062900578892755
20191030	weighted_emo	-14.083937328842454
20191031	weighted_emo	-12.245730275938437
20191101	weighted_emo	13.910383403601076
20191104	weighted_emo	5.63108478267359
20191105	weighted_emo	3.9651119650141937
20191106	weighted_emo	-9.883001646931644
20191107	weighted_emo	9.683733191095056
20191108	weighted_emo	-3.33263284624168
20191111	weighted_emo	-27.34950458107244
20191112	weighted_emo	4.980592418094419
20191113	weighted_emo	-3.276417491627304
20191114	weighted_emo	7.4386296905152225
20191115	weighted_emo	-12.337902885101064
20191118	weighted_emo	9.681237878073444
20191119	weighted_emo	26.13549406863429
20191120	weighted_emo	-11.354378056479227
20191121	weighted_emo	-3.148201846648668
20191122	weighted_emo	-12.926368841220848
20191125	weighted_emo	-1.2239811066882351
20191126	weighted_emo	-4.192406785957853
20191127	weighted_emo	-4.050531609229735
20191128	weighted_emo	-6.986845810785317
20191129	weighted_emo	-1.229459455162913
20191202	weighted_emo	-1.16989204303642
20191203	weighted_emo	6.921007460393657
20191204	weighted_emo	-0.7191880656118088
20191205	weighted_emo	14.926574348962411
20191206	weighted_emo	10.47472048322106
20191209	weighted_emo	6.260138313006017
20191210	weighted_emo	10.564356495788031
20191211	weighted_emo	-1.4818848753138998
20191212	weighted_emo	-2.600075775379516
20191213	weighted_emo	21.88320708572117
20191216	weighted_emo	36.09428606269769
20191217	weighted_emo	31.19735442485268
20191218	weighted_emo	12.099705058610978
20191219	weighted_emo	19.801933406204697
20191220	weighted_emo	-4.61090973802331
20191223	weighted_emo	-23.60079465531225
20191224	weighted_emo	32.260024737073806
20191225	weighted_emo	9.306997358644132
20191226	weighted_emo	20.49300081951974
20191227	weighted_emo	-3.288881680904551
20191230	weighted_emo	18.11317836606357
20191231	weighted_emo	15.469693174784842
20200102	weighted_emo	44.80730380242453
20200103	weighted_emo	20.01244434045981
20200106	weighted_emo	25.14018530941569
20200107	weighted_emo	40.03887227905112
20200108	weighted_emo	-8.9441769488484
20200109	weighted_emo	39.025969897830535
20200110	weighted_emo	6.539636310642785
20200113	weighted_emo	32.7261234220897
20200114	weighted_emo	12.634403796885044
20200115	weighted_emo	0.8365489152065548
20200116	weighted_emo	0.7740431153398599
20200117	weighted_emo	2.342360824764752
20200120	weighted_emo	27.126467622658108
20200121	weighted_emo	-10.015091398833231
20200122	weighted_emo	9.833301876873078
20200123	weighted_emo	-37.91408201928208
20200203	weighted_emo	-86.1181117805358
20200204	weighted_emo	7.528611171118598
20200205	weighted_emo	43.65277172790003
20200206	weighted_emo	42.8722604890473
20200207	weighted_emo	21.436025440602418
20200210	weighted_emo	29.06198265649506
20200211	weighted_emo	-8.508092212834033
20200212	weighted_emo	25.36802509971902
20200213	weighted_emo	-14.325497327943088
20200214	weighted_emo	1.0473622179850932
20200217	weighted_emo	66.06048137555587
20200218	weighted_emo	40.124217617003296
20200219	weighted_emo	0.5412332740202777
20200220	weighted_emo	40.49509837861815
20200221	weighted_emo	30.50700405853692
20200224	weighted_emo	40.83890349008728
20200225	weighted_emo	12.597249285953009
20200226	weighted_emo	-4.257236154913528
20200227	weighted_emo	13.50734076112353
20200228	weighted_emo	-60.579729038463135
20200302	weighted_emo	74.73862561914409
20200303	weighted_emo	26.010144398482822
20200304	weighted_emo	27.61631446181256
20200305	weighted_emo	43.89430408976478
20200306	weighted_emo	7.978812946028986
20200309	weighted_emo	-34.927662638531984
20200310	weighted_emo	42.82878034412755
20200311	weighted_emo	-7.9552054095234705
20200312	weighted_emo	-24.46173471123829
20200313	weighted_emo	-14.854185969276786
20200316	weighted_emo	-43.80068983193389
20200317	weighted_emo	-4.349621823762202
20200318	weighted_emo	-20.59164211275657
20200319	weighted_emo	12.337154913069588
20200320	weighted_emo	18.63885475700756
20200323	weighted_emo	-43.718338014311016
20200324	weighted_emo	29.17770380150905
20200325	weighted_emo	32.651030143496875
20200326	weighted_emo	-18.22628809228734
20200327	weighted_emo	-9.849961496552732
20200330	weighted_emo	-29.27249568546453
20200331	weighted_emo	-1.6527745223315178
20200401	weighted_emo	-10.79886207192909
20200402	weighted_emo	28.22177574033514
20200403	weighted_emo	-12.358616292812906
20200407	weighted_emo	52.64493791323288
20200408	weighted_emo	6.738012756767308
20200409	weighted_emo	13.719541522190625
20200410	weighted_emo	-30.471469113377992
20200413	weighted_emo	-11.54192831401897
20200414	weighted_emo	29.11119229475033
20200415	weighted_emo	-9.984541985431925
20200416	weighted_emo	4.499184155029931
20200417	weighted_emo	-0.3688443760740633
20200420	weighted_emo	17.52476197202782
20200421	weighted_emo	-6.471363151655761
20200422	weighted_emo	15.890136163690045
20200423	weighted_emo	-2.467564648221736
20200424	weighted_emo	-20.664385430550727
20200427	weighted_emo	-5.515939922133325
20200428	weighted_emo	-20.52088340781816
20200429	weighted_emo	1.9178966003715867
20200430	weighted_emo	33.65380206158247
20200506	weighted_emo	28.27530765925455
20200507	weighted_emo	-3.748516328146125
