,date,成交量,1,2,3,4,5,6,7,7+,涨停数,跌停数,炸板率,连板高度,连板股数,连板溢价,l_emo,l_bar,h_bar,weighted_emo,weighted_emo_R,short,short_R,long,long_R,position
255,20210120,9153.73139196,58,11,5,1,2,1,1,1,80,2,0.1489361702127659,13,80,3.9941227272727273,74.880859375,51.601219512195115,10.0,9.714460678470777,142.0,23.111039160500297,-2.5048186036757403,1.0104511200103734,-285.01086611397204,58-90%
256,20210121,10854.06023128,54,16,7,3,1,1,0,2,84,4,0.2566371681415929,14,84,4.852622727272728,78.32256809338519,51.924915311653116,10.0,13.170601306549267,112.0,21.165185337777423,-3.441255698915181,3.100789509320733,-78.33463373135876,58-90%
257,20210122,11134.4954905,35,11,4,3,0,0,0,1,54,17,0.2394366197183098,15,54,-0.3165533333333334,53.38217054263566,52.24861111111112,10.0,15.36124474347106,93.0,22.20365572006435,-3.0533865744761766,5.593127893471932,-31.182350096104287,>90%
258,20210125,12079.20101792,37,4,2,4,3,0,0,0,50,23,0.4186046511627907,5,50,4.987752631578948,45.0,52.31001984126984,10.0,12.955322112559324,114.0,13.496932032970617,-10.335909496043106,5.963894059522124,-27.50486583150704,58-90%
259,20210126,10137.96072529,45,5,0,1,2,2,0,0,55,32,0.2361111111111111,6,55,0.888876923076923,49.58076923076923,52.24861111111112,10.0,7.583103509715183,183.0,-0.14967870510592585,2506.3664095678605,5.615539353456477,-30.5196793859263,58-90%
260,20210127,9228.7822644,49,11,2,0,1,2,2,0,67,13,0.247191011235955,7,67,7.605510000000001,60.747509578544054,51.924915311653116,10.0,3.871582046229456,254.0,-5.503835820378585,89.30205257949903,4.518423566406923,-45.25507036433019,58-90%
261,20210128,9153.49762709,32,8,2,1,0,0,0,2,45,30,0.3918918918918919,8,45,0.0211277777777776,41.595419847328245,52.24861111111112,9.5,3.7875154483485387,260.0,-0.06769422474710174,5525.843535725881,5.613017162378148,-30.711999954866368,58-90%
262,20210129,9519.75025357,30,3,1,1,0,0,0,1,36,38,0.25,9,36,-3.149346153846154,35.022433460076044,51.924915311653116,9.0,-0.21568871422836078,348.0,-2.7508536267213684,158.04216167796736,4.051329507550495,-54.29049157382272,58-90%
263,20210201,8564.47594065,70,10,3,0,1,0,0,1,85,58,0.1904761904761904,10,85,7.8526,76.92045454545455,51.601219512195115,9.5,-4.823464943459494,461.0,-11.964220124287447,52.98834470935016,1.6778907176534468,-163.49223843731002,42-58%
264,20210202,9005.81830339,52,11,4,2,0,0,0,1,70,21,0.1566265060240964,11,70,2.475233333333333,64.74528301886792,51.924915311653116,10.0,-1.0432095468280993,366.0,0.1616281804869537,-2232.5214002433145,0.8237374510661158,-353.48187965969163,58-90%
